date,drawdown
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-09,-0.0012677409365197433
2017-01-10,-0.0013044606060860634
2017-01-11,0.0
2017-01-12,-0.0014215814101356146
2017-01-13,0.0
2017-01-17,-0.002496062274109163
2017-01-18,-0.004404775740984369
2017-01-19,-0.008285127786200636
2017-01-20,-0.004580840785323457
2017-01-23,-0.0026073579596516292
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-30,-0.005084315858556014
2017-01-31,-0.008736202476081246
2017-02-01,-0.0063112503170746756
2017-02-02,-0.007088940927459374
2017-02-03,-0.002182033028951459
2017-02-06,-0.0027485902816503614
2017-02-07,-0.0017123583477481627
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,-0.0016763246540809436
2017-02-17,-0.0017643759285308014
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-27,0.0
2017-02-28,-0.0006343514407093913
2017-03-01,0.0
2017-03-02,-0.006110024611452917
2017-03-03,-0.005000744434923041
2017-03-06,-0.006392901248455125
2017-03-07,-0.008243290389010272
2017-03-08,-0.011803939910520918
2017-03-09,-0.012465868280352194
2017-03-10,-0.009569894301766161
2017-03-13,-0.00941776976753951
2017-03-14,-0.012519187264485742
2017-03-15,-0.004843450897475735
2017-03-16,-0.006630064741787138
2017-03-17,-0.008141576799780574
2017-03-20,-0.007525381717361342
2017-03-21,-0.015544176752309602
2017-03-22,-0.013749636912745231
2017-03-23,-0.015192827840856312
2017-03-24,-0.016584825707954047
2017-03-27,-0.019214989958235895
2017-03-28,-0.012742698005218784
2017-03-29,-0.01169457269206887
2017-03-30,-0.010554729612116624
2017-03-31,-0.013250398832334786
2017-04-03,-0.012355987626119967
2017-04-04,-0.009094935806339336
2017-04-05,-0.009586596899843813
2017-04-06,-0.008971166961341124
2017-04-07,-0.010403202795145297
2017-04-10,-0.0076691979179538145
2017-04-11,-0.008471391584896286
2017-04-12,-0.010611149188356983
2017-04-13,-0.01686865208854761
2017-04-17,-0.010271675256755547
2017-04-18,-0.014309010592951763
2017-04-19,-0.018511860415490904
2017-04-20,-0.01171883092742725
2017-04-21,-0.010269234678362446
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,-0.0005328481640591956
2017-04-27,-0.000351907426940409
2017-04-28,0.0
2017-05-01,0.0
2017-05-02,-0.00011157179324945994
2017-05-03,-0.0007613951209121425
2017-05-04,-0.0045165445994304705
2017-05-05,-0.002634371500564673
2017-05-08,0.0
2017-05-09,-0.001804647073398929
2017-05-10,0.0
2017-05-11,-0.0001434211820389048
2017-05-12,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,-0.014009045904883593
2017-05-18,-0.010072711467200051
2017-05-19,-0.005674473214293316
2017-05-22,-0.002723259725036016
2017-05-23,-0.00046002760205042005
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-30,-0.002579079790698029
