date,portfolio_return
2017-01-04,0.0014540088607176652
2017-01-05,0.0021359786880812675
2017-01-06,0.003820465755953513
2017-01-09,-0.001267740936519763
2017-01-10,-3.6766279684192344e-05
2017-01-11,0.004570915540235003
2017-01-12,-0.0014215814101355639
2017-01-13,0.0014844460820146285
2017-01-17,-0.0024960622741091614
2017-01-18,-0.0019134896562179623
2017-01-19,-0.0038975197456418763
2017-01-20,0.003735233890975308
2017-01-23,0.001982564638628031
2017-01-24,0.003076982434414552
2017-01-25,0.005044143496536894
2017-01-26,0.001608509226949374
2017-01-27,0.0025577085068653554
2017-01-30,-0.0050843158585560854
2017-01-31,-0.0036705488472387918
2017-02-01,0.0024463237385080622
2017-02-02,-0.000782629984120011
2017-02-03,0.0049419410265118665
2017-02-06,-0.0005677962027671236
2017-02-07,0.0010390879609734087
2017-02-08,0.002668407455516133
2017-02-09,0.0037693856606705483
2017-02-10,0.004387970319518983
2017-02-13,0.006753368055258767
2017-02-14,0.0026332575515192937
2017-02-15,0.005074109707372597
2017-02-16,-0.0016763246540809256
2017-02-17,-8.819912481720663e-05
2017-02-21,0.005655917591991625
2017-02-22,0.00018700421686422287
2017-02-23,0.0008052274883200916
2017-02-24,0.0010729055600910903
2017-02-27,0.0023211078533960827
2017-02-28,-0.000634351440709282
2017-03-01,0.011523996355649905
2017-03-02,-0.006110024611452823
2017-03-03,0.0011160995723859448
2017-03-06,-0.0013991536232270492
2017-03-07,-0.0018622946060673144
2017-03-08,-0.0035902449532276915
2017-03-09,-0.0006698350626608003
2017-03-10,0.0029325305177483906
2017-03-13,0.00015359441655859587
2017-03-14,-0.003130903626464656
2017-03-15,0.0077730486182780575
2017-03-16,-0.0017953093369305663
2017-03-17,-0.0015216003669373235
2017-03-20,0.0006212530619352479
2017-03-21,-0.008079597087151539
2017-03-22,0.0018228749296683876
2017-03-23,-0.0014633109219788756
2017-03-24,-0.001413472511624651
2017-03-27,-0.002674520710111379
2017-03-28,0.006599093467733119
2017-03-29,0.0010616536449335895
2017-03-30,0.0011533307907222398
2017-03-31,-0.002724424787195456
2017-04-03,0.0009064216546492343
2017-04-04,0.0033018494304869984
2017-04-05,-0.000496173762018794
2017-04-06,0.0006213869244663735
2017-04-07,-0.0014449991625503473
2017-04-10,0.002762746287087625
2017-04-11,-0.0008083933958912125
2017-04-12,-0.002158039198567296
2017-04-13,-0.00632461432636644
2017-04-17,0.006710168326751689
2017-04-18,-0.004079235922891954
2017-04-19,-0.004263861461356627
2017-04-20,0.006921152904546932
2017-04-21,0.0014667852575042228
2017-04-24,0.010573569258499884
2017-04-25,0.007388229625632845
2017-04-26,-0.0005328481640592777
2017-04-27,0.0001810372024597891
2017-04-28,0.0017553414858584395
2017-05-01,0.0018780781763154317
2017-05-02,-0.00011157179324936973
2017-05-03,-0.0006498958377066456
2017-05-04,-0.0037580108096131747
2017-05-05,0.0018907125865879183
2017-05-08,0.003579900990698323
2017-05-09,-0.0018046470733989683
2017-05-10,0.0020882189009696233
2017-05-11,-0.0001434211820388321
2017-05-12,0.001127125735759106
2017-05-15,0.003974543252095892
2017-05-16,0.0010664516228120694
2017-05-17,-0.014009045904883558
2017-05-18,0.003992262222421872
2017-05-19,0.004442991221532477
2017-05-22,0.0029680556414934263
2017-05-23,0.002269412322162082
2017-05-24,0.003502998352026549
2017-05-25,0.004560195006183299
2017-05-26,0.00040606116130679793
2017-05-30,-0.0025790797906979097
2017-05-31,-0.004083467352564446
2017-06-01,0.005437910818822672
2017-06-02,0.0036670866273577673
2017-06-05,-0.0003264064777907445
2017-06-06,0.0017767751659644418
2017-06-07,0.001419384318379208
2017-06-08,0.0002197279039920664
2017-06-09,-0.002567878383116061
2017-06-12,-0.003151096301855971
2017-06-13,0.005386824662917116
2017-06-14,0.00012529091379384193
2017-06-15,-0.001047396048553266
2017-06-16,0.0042556396995850915
2017-06-19,0.006017370838295212
2017-06-20,-0.0037698957075746587
2017-06-21,-0.0028767454338437097
2017-06-22,-0.00037226982775358583
2017-06-23,0.0008907824515005736
2017-06-26,-0.0010933458724094768
2017-06-27,-0.00693405256173734
2017-06-28,0.006257322059794612
2017-06-29,-0.007457630246484978
2017-06-30,0.0013611949883487915
2017-07-03,0.002003130246547861
2017-07-05,0.002190065474039903
2017-07-06,-0.005699552164935807
2017-07-07,0.0034759754449170638
2017-07-10,0.00162895689723549
2017-07-11,0.0001137081044349047
2017-07-12,0.006220870170210132
2017-07-13,0.001312643756349711
2017-07-14,0.002805574439208804
2017-07-17,0.0004577185056680022
2017-07-18,0.0013422353090285072
2017-07-19,0.004595804385541549
2017-07-20,-0.0009440888172241505
2017-07-21,-0.002020254022744822
2017-07-24,-0.00024063491014010395
2017-07-25,0.006228539249116809
2017-07-26,0.0018924865483613868
2017-07-27,-4.5316991626701e-05
2017-07-28,0.0006251536340343329
2017-07-31,-0.0003900708770071602
2017-08-01,0.003972517194552186
2017-08-02,0.0029988985277297556
2017-08-03,-0.000512017335064013
2017-08-04,0.003751703342206227
2017-08-07,0.0028056233686477357
2017-08-08,-0.00013588537994877451
2017-08-09,0.001999378086817441
2017-08-10,-0.009778254521012589
2017-08-11,0.00040914865997306146
2017-08-14,0.0058944600457295875
2017-08-15,-0.0007272939171184048
2017-08-16,0.0004696784897410734
2017-08-17,-0.010361442436994113
2017-08-18,-0.0002755747329179003
2017-08-21,0.0005363448107898476
2017-08-22,0.007962361529106246
2017-08-23,-0.003087554863685588
2017-08-24,-0.0012690782425923749
2017-08-25,0.0012354453057350453
2017-08-28,0.001488222270582326
2017-08-29,0.0023816080101162025
2017-08-30,0.002925996693103771
2017-08-31,0.0046470155053709794
2017-09-01,0.0010061780573519827
2017-09-05,-0.0035915846683877623
2017-09-06,0.0026752152250550283
2017-09-07,0.0031677632281551724
2017-09-08,-0.0037312417731328634
2017-09-11,0.00893536628751796
2017-09-12,0.0011161793791958268
2017-09-13,0.0009232104441356079
2017-09-14,-0.0003125956073599679
2017-09-15,0.0015387997656146042
2017-09-18,-0.0008027946277245162
2017-09-19,0.0019768638455762446
2017-09-20,-0.00039090420031600453
2017-09-21,-0.0035392628319761725
2017-09-22,-0.0012526864529574795
2017-09-25,-0.0031307862351161605
2017-09-26,0.0005649728514112013
2017-09-27,0.001990523095658137
2017-09-28,0.002842870132713423
2017-09-29,0.0025111247263763454
2017-10-02,0.0025815901897122046
2017-10-03,0.0025819724126797377
2017-10-04,0.0012601472302859141
2017-10-05,0.005097686295924134
2017-10-06,0.00025278637834960085
2017-10-09,0.00017932012387236545
2017-10-10,0.0006079733420651471
2017-10-11,0.0030099597420277626
2017-10-12,0.0003698084090693131
2017-10-13,0.002090601076766059
2017-10-16,0.004902376618901823
2017-10-17,0.003465543250524369
2017-10-18,-0.00047179074965097864
2017-10-19,-0.001976194658459151
2017-10-20,0.0026662182921989744
2017-10-23,-0.0017446966314736115
2017-10-24,0.004873486256417417
2017-10-25,-0.003196944488809261
2017-10-26,0.0018398381095234818
2017-10-27,0.015077324633978753
2017-10-30,-0.0013359198390756769
2017-10-31,6.732321684356333e-05
2017-11-01,0.001643703886999985
2017-11-02,-0.0016886866398843437
2017-11-03,0.0033947016292599805
2017-11-06,0.002636592779031302
2017-11-07,0.0011605603736901445
2017-11-08,7.907558957813727e-05
2017-11-09,-0.001882616839937774
2017-11-10,-0.0019045514391334566
2017-11-13,0.002969776329885812
2017-11-14,-0.00045870547310754875
2017-11-15,-0.0055502751983154755
2017-11-16,0.004091616350395894
2017-11-17,-0.0029228885285200222
2017-11-20,0.001732446697681421
2017-11-21,0.006746924053207427
2017-11-22,-0.0003614033498031835
2017-11-24,0.0028623722661000124
2017-11-27,0.0016089671962473888
2017-11-28,0.008689173265050547
2017-11-29,-0.002338632091634099
2017-11-30,0.010109753485164647
2017-12-01,-0.00010821357347618143
2017-12-04,-0.003338365620760862
2017-12-05,-0.002350173646471174
2017-12-06,0.0012494577890169829
2017-12-07,0.0016351957565536987
2017-12-08,0.004848742911288064
2017-12-11,0.0014226686230103143
2017-12-12,0.000410105025217593
2017-12-13,0.0041818313696235085
2017-12-14,-0.003280071693752343
2017-12-15,0.006444564321882855
2017-12-18,0.002978748115086887
2017-12-19,-0.004082282283854847
2017-12-20,-0.0006717684808242815
2017-12-21,0.005671697302914758
2017-12-22,-0.0006359464158368414
2017-12-26,-0.0001242860120108341
2017-12-27,0.0023069939513961192
2017-12-28,0.0022214894346849084
2017-12-29,-0.004718657218341219
2018-01-02,0.004567821186433973
2018-01-03,0.0030498303492733393
2018-01-04,0.004725304696181365
2018-01-05,0.005642022178320324
2018-01-08,0.001861322982965642
2018-01-09,0.0006451302097136814
2018-01-10,-0.001142946267444923
2018-01-11,0.00690295879899078
2018-01-12,0.004537463431045253
2018-01-16,-0.0011365037085949953
2018-01-17,0.004425334465442895
2018-01-18,-0.001283703458623207
2018-01-19,0.003406335128967467
2018-01-22,0.007898977697397551
2018-01-23,-0.0005712467815622032
2018-01-24,-0.0009661424687570262
2018-01-25,0.003434866943949077
2018-01-26,0.006486249330818942
2018-01-29,-0.008790564381747802
2018-01-30,-0.008446011628365174
2018-01-31,0.0017911567431778074
2018-02-01,-0.0002844013654271669
2018-02-02,-0.021283818316204572
2018-02-05,-0.034872198679460266
2018-02-06,0.017630652429580305
2018-02-07,-0.00875353860193222
2018-02-08,-0.03154110020370306
2018-02-09,0.012188691597774737
2018-02-12,0.012390669048889568
2018-02-13,0.002520192660628186
2018-02-14,0.010172858408300248
2018-02-15,0.009354417143652548
2018-02-16,1.4078794547083885e-05
2018-02-20,-0.005280719297559504
2018-02-21,-0.005870061181585467
2018-02-22,0.005020928156294531
2018-02-23,0.015494777983563362
2018-02-26,0.009285217047970676
2018-02-27,-0.01055506202797701
2018-02-28,-0.012433187278692082
2018-03-01,-0.010460010716896038
2018-03-02,0.0006883100676761905
2018-03-05,0.010971769246797092
2018-03-06,0.0008111577404841289
2018-03-07,-0.002153884001897494
2018-03-08,0.0039049597067242134
2018-03-09,0.013657137542980294
2018-03-12,-0.0022889880513552183
2018-03-13,-0.00447345003752805
2018-03-14,-0.003999245920567727
2018-03-15,0.0034479197132697295
2018-03-16,0.002889316717123892
2018-03-19,-0.015418973028182561
2018-03-20,0.002275312604765259
2018-03-21,-0.00018539358137420491
2018-03-22,-0.021162928058187105
2018-03-23,-0.016486515011538232
2018-03-26,0.02313502122253583
2018-03-27,-0.01313580875336948
2018-03-28,-0.004747180473368967
