date,ewma_annualised_vol
2017-01-04,0.02308167509725977
2017-01-05,0.02308167509725977
2017-01-06,0.023870095615885312
2017-01-09,0.027500644915094415
2017-01-10,0.02711473231996062
2017-01-11,0.026289097071924627
2017-01-12,0.03107339461291918
2017-01-13,0.030629698242609336
2017-01-17,0.03025236919224484
2017-01-18,0.03089491921996017
2017-01-19,0.030864012776661495
2017-01-20,0.03354273139343893
2017-01-23,0.0356168746459209
2017-01-24,0.03538189027837947
2017-01-25,0.03633068843449908
2017-01-26,0.04031659394139883
2017-01-27,0.03958562980985903
2017-01-30,0.03964736913118839
2017-01-31,0.043225630066624235
2017-02-01,0.044272547623076045
2017-02-02,0.04396522036950498
2017-02-03,0.04273435751891548
2017-02-06,0.04567191964629009
2017-02-07,0.04433557673638683
2017-02-08,0.04317441237573057
2017-02-09,0.043125961020966344
2017-02-10,0.04430673333949468
2017-02-13,0.046221490553223776
2017-02-14,0.051940670736732586
2017-02-15,0.051388773534850836
2017-02-16,0.05358774219209745
2017-02-17,0.0523625392753407
2017-02-21,0.05076852379156256
2017-02-22,0.0539117446672233
2017-02-23,0.052274433477620556
2017-02-24,0.05077856918285464
2017-02-27,0.04940809987478265
2017-02-28,0.048745772567975715
2017-03-01,0.047325105780324186
2017-03-02,0.06413469714598978
2017-03-03,0.06656522902166008
2017-03-06,0.06468313989786327
2017-03-07,0.06294818067623531
2017-03-08,0.06145863111363507
2017-03-09,0.06119990362314075
2017-03-10,0.05939264717051851
2017-03-13,0.05870149352817001
2017-03-14,0.05691634318465008
2017-03-15,0.05650943800726937
2017-03-16,0.0625721367333252
2017-03-17,0.061066273573506934
2017-03-20,0.0595008506606106
2017-03-21,0.05773877207496365
2017-03-22,0.0641932377726239
2017-03-23,0.06263998171366254
2017-03-24,0.060997683618486405
2017-03-27,0.059394298371758025
2017-03-28,0.0585164592322937
2017-03-29,0.062266939254385104
2017-03-30,0.06051101800998852
2017-03-31,0.058838766998389795
2017-04-03,0.058021621202308374
2017-04-04,0.056364355851847445
2017-04-05,0.056135243689161715
2017-04-06,0.05445932443245204
2017-04-07,0.0528555304280865
2017-04-10,0.05155245457231358
2017-04-11,0.051123416120526344
2017-04-12,0.04966556526917069
2017-04-13,0.048878258201536594
2017-04-17,0.05339054562889935
2017-04-18,0.05796823171768665
2017-04-19,0.05839774174376801
2017-04-20,0.05899633756850968
2017-04-21,0.06321406031519289
2017-04-24,0.061553118817768655
2017-04-25,0.07246986130116993
2017-04-26,0.07590854574187594
2017-04-27,0.07362522567976763
2017-04-28,0.07138577571883122
2017-05-01,0.069546828391437
2017-05-02,0.0678224637182339
2017-05-03,0.06575774941016477
2017-05-04,0.06380456773453319
2017-05-05,0.06356332187724426
2017-05-08,0.06206391078035921
2017-05-09,0.061762339087438
2017-05-10,0.06029057483387122
2017-05-11,0.059015162124894764
2017-05-12,0.05722004029951459
2017-05-15,0.055649740942968026
2017-05-16,0.056124242509164736
2017-05-17,0.05457225509027929
2017-05-18,0.07593941055629182
2017-05-19,0.07524474317057493
2017-05-22,0.07497023727957655
2017-05-23,0.07359688665949521
2017-05-24,0.0718984223373964
2017-05-25,0.07102645723981489
2017-05-26,0.07110905914996003
2017-05-30,0.06896086909894478
2017-05-31,0.06760797560701474
2017-06-01,0.06744412215089028
2017-06-02,0.06872334866646708
2017-06-05,0.06813847151738094
2017-06-06,0.06607489027955508
2017-06-07,0.06443345745327185
2017-06-08,0.06271388800648339
2017-06-09,0.06080937298538329
2017-06-12,0.059796440722562356
2017-06-13,0.05925546482142962
2017-06-14,0.06114971667440926
2017-06-15,0.05928885164457693
2017-06-16,0.05762677394604413
2017-06-19,0.05827027257533086
2017-06-20,0.06114879813490455
2017-06-21,0.06107136924017731
2017-06-22,0.060258256334712476
2017-06-23,0.058440477510529595
2017-06-26,0.056765919941482675
2017-06-27,0.05520056171244075
2017-06-28,0.05992713823212616
2017-06-29,0.06299044263071898
2017-06-30,0.06760655141561041
2017-07-03,0.06576033885111165
2017-07-05,0.06423103845749283
2017-07-06,0.0628538788888215
2017-07-07,0.06484400586396918
2017-07-10,0.06430510367566104
2017-07-11,0.06266704481525993
2017-07-12,0.060759562951557704
2017-07-13,0.06368165601537504
2017-07-14,0.061952275039669914
2017-07-17,0.061047625575419824
2017-07-18,0.05921462291779767
2017-07-19,0.05764745787201869
2017-07-20,0.05867871398187134
2017-07-21,0.05700944218248219
2017-07-24,0.05582815664147019
2017-07-25,0.054135493122020505
2017-07-26,0.057804743753766735
2017-07-27,0.056524839292903216
2017-07-28,0.054803148272200036
2017-07-31,0.05318920107458082
2017-08-01,0.05159114490167946
2017-08-02,0.05235030619192818
2017-08-03,0.05207783960251391
2017-08-04,0.050530576690618875
2017-08-07,0.05111709139534737
2017-08-08,0.05074639919005107
2017-08-09,0.049203296609457894
2017-08-10,0.048333724519663966
2017-08-11,0.060346231232191065
2017-08-14,0.05852946859657798
2017-08-15,0.061200457678959895
2017-08-16,0.05940340125202006
2017-08-17,0.057622683688734216
2017-08-18,0.06887979917446448
2017-08-21,0.06679003941254291
2017-08-22,0.06478892119087136
2017-08-23,0.07003102149383239
2017-08-24,0.06895086814630993
2017-08-25,0.06703223512594256
2017-08-28,0.06516747155433626
2017-08-29,0.06344666458862254
2017-08-30,0.06220700917171076
2017-08-31,0.06137571584268917
2017-09-01,0.06218900588102859
2017-09-05,0.06042128355871623
2017-09-06,0.060222319455285174
2017-09-07,0.05930712061485949
2017-09-08,0.05880492757581716
2017-09-11,0.05883061680901534
2017-09-12,0.06678750959982105
2017-09-13,0.06489818565337811
2017-09-14,0.06302344858859778
2017-09-15,0.06111558912264046
2017-09-18,0.059555109261297104
2017-09-19,0.057825140747756076
2017-09-20,0.05658808096398749
2017-09-21,0.054885231901616524
2017-09-22,0.05496402684224427
2017-09-25,0.05351175804396011
2017-09-26,0.053290724422378616
2017-09-27,0.05171395797128085
