date,AAPL,MSFT,JNJ,UNH,JPM,GS,XOM,CVX,AMZN,HD,PG,CAT,HON,NEE,META,TLT,GLD,UUP
2017-01-04,-0.0011198691769447073,-0.004484312447716781,-0.001641539960158436,0.0028451280939591874,0.0018325511948791263,0.0064369935487590905,-0.011063283545355778,-0.0002545932888734038,0.004646399463597819,0.008821079398353433,0.0035566131140111145,-0.004478574344559528,0.0027505604413249323,0.0029437760422107036,0.015538414941825632,0.00383749532363363,0.003524153107474881,-0.007518832413502939
2017-01-05,0.005072443493881436,0.0,0.010408248448830221,0.0016662042181449176,-0.009247551742704233,-0.007472426141294839,-0.015019336356410286,-0.004338032575543371,0.03026967051898446,-0.011878387622755672,0.006605355462828501,-0.006110326135555332,0.002229272980553312,-0.0005880623520433029,0.016544495017386585,0.015532367782813512,0.015395936044221795,-0.010622254655874895
2017-01-06,0.011086588055757522,0.008630387592858599,-0.004803577601968719,0.0014171726702499436,0.00011612378923822768,0.014726110385351005,-0.0005648122138503995,-0.0040145259981939916,0.019715946546977756,-0.0027670810006749673,-0.0003527544269481737,0.00043001505754728227,0.015045547104615387,-0.0029455102279544953,0.022452598379788597,-0.00922424593527275,-0.007399846542202339,0.007220247971844766
2017-01-09,0.009117834377387819,-0.003187761704645159,-0.00017198383343957108,-0.0028363565694730993,0.0006964596910049264,-0.008241298002517774,-0.016634768907282535,-0.008595548881624983,0.0011676743892226832,0.00582438922507709,-0.007436733796311551,-0.007227257605221902,-0.008302318105059214,-0.0025316469232735377,0.012001271666017785,0.007993779432972841,0.00819895868239642,-0.0026540299925859774
2017-01-10,0.0010079799260324972,-0.00031933578444309974,-0.0010325246144903344,-0.0022872695657054566,0.002896705577388345,-0.0013183374384042133,-0.012834771782779458,-0.007625686867575127,-0.001280747528818882,0.01323934873606505,-0.010840537396770208,0.01568238369728566,0.0025488543961636875,0.0019415023202328757,-0.0044132468817462195,-0.0006568684035678971,0.004251179903471926,0.00037957867334539294
2017-01-11,0.0053588003997251735,0.009061344887077764,-0.012387009265420527,0.0019167162017735288,0.0074923986008233676,0.013065121442206774,0.010188811079197635,0.008402318912036185,0.003912426930304892,-0.0029433428166282063,0.003109306500583491,0.008701243353520413,0.0013567372554955876,0.006975111265802265,0.01389576743542707,0.003361898948088619,0.0030884648419108964,-0.002279636247694876
2017-01-12,-0.004184106523752411,-0.009221051027306243,-0.0009592326874591218,0.002898999717464622,-0.009693129205740844,-0.00784317746092474,-0.005428832276532264,0.0019819903946080956,0.018132030992177785,-0.004653404267875948,0.001074049866536767,-0.006997484023016574,-0.0032252616648292664,0.0007534218262941553,0.004194537430565288,-0.002212662243393834,0.003605825990363209,-0.0038109802196188273
2017-01-13,-0.0017625586823427194,0.0014364378814635806,-0.00017450484356568364,-0.003455087346140571,0.005319776626731562,0.0018847057656167995,0.00011581446617665381,0.0018921481519510854,0.004292431074634512,-0.000222131724703825,0.002025618804822674,0.005199778255793431,0.0037335639457570517,-0.0037727984388035677,0.013492517206977268,-0.004769745884827922,0.0026301961506949413,-0.001146131933971955
2017-01-17,0.008032171695892421,-0.0027150060600964927,0.0023532498770804816,-0.00707067387887611,-0.03700862874499276,-0.03566747546573834,0.01162870740296319,-0.0008596235379250696,-0.00912192991554451,0.0065690164995291424,0.014182958462803987,-0.009678352600353013,-0.007139851834885777,0.00977982467842858,-0.003668869499268405,0.010414625275436745,0.014257391815869533,-0.009216655104288514
2017-01-18,-8.3336803962184e-05,-0.0004798848361924275,-0.0014810300215777905,-0.018342222775727595,0.004657002864348239,-0.006169838519418357,-0.01243969047519993,-0.0029282597788378014,-0.0027702219051495237,0.0016906174776026564,0.004560644168643687,0.005648227302795108,0.007055152729049953,-0.001581686075677969,0.00039094570201589037,-0.012890691247851485,-0.00849519672107224,0.009216655104288447
2017-01-19,-0.001751679142285856,-0.0032051309487165563,-0.0043687269141277985,0.0060675195626478115,-0.007653708733506125,-0.01236863524132934,-0.018128091310278805,-0.003109885022744781,0.0019300726056880146,-0.0056711623184264705,-0.0027117861339391496,0.0005355899656805447,-0.001271348224579779,-0.00626804107814232,-0.0028966239374912627,-0.006882567904603326,-0.0008709284647359556,-0.001530222180662628
