date,actual_return,actual_loss,var95_static,var95_ewma,var95_garch,var95_tgarch,breach_static,breach_ewma,breach_garch,breach_tgarch
2022-01-03,0.0043425153898955,-0.0043425153898955,0.015073,0.012300243930910294,0.01039609632929137,0.009786629849359121,0,0,0,0
2022-01-04,0.0062995446263501,-0.0062995446263501,0.015073,0.011965375430098318,0.009906277479346463,0.009195225565515691,0,0,0,0
2022-01-05,-0.0084294624437412,0.0084294624437412,0.015073,0.01190568809030749,0.010152879316248361,0.009073182483005001,0,0,0,0
2022-01-06,-0.0039234029454644,0.0039234029454644,0.015073,0.012250800187549081,0.012287055591608281,0.012326449320076274,0,0,0,0
2022-01-07,0.0011046689732888,-0.0011046689732888,0.015073,0.011939235090255379,0.011863349366474702,0.011953483318260141,0,0,0,0
2022-01-10,-0.0042737652406102,0.0042737652406102,0.015073,0.011641522967907122,0.010795835813387724,0.010789345591465912,0,0,0,0
2022-01-11,0.0081213945201335,-0.0081213945201335,0.015073,0.01143604033673493,0.010850481508426272,0.010969749651621133,0,0,0,0
2022-01-12,3.550444376608316e-05,-3.550444376608316e-05,0.015073,0.01174756559586754,0.011507322179077807,0.010946024887326596,0,0,0,0
2022-01-13,-0.0066880455037272,0.0066880455037272,0.015073,0.011272147266683548,0.010542138321981089,0.010015770838701334,0,0,0,0
2022-01-14,-0.0043206393240453,0.0043206393240453,0.015073,0.011149981145929529,0.01158155013836834,0.01164649750138889,0,0,0,0
2022-01-18,-0.0168885053951407,0.0168885053951407,0.015073,0.01106090636466279,0.011423102671004435,0.011602019176309828,1,1,1,1
2022-01-19,-0.0035761956536602,0.0035761956536602,0.015073,0.0131366259589052,0.018082712938175895,0.02033121393762823,0,0,0,0
2022-01-20,-0.0059614885212124,0.0059614885212124,0.015073,0.012637773122571416,0.01635053573267119,0.018204764582235657,0,0,0,0
2022-01-21,-0.0128978212260479,0.0128978212260479,0.015073,0.012516383923623546,0.015599210879625746,0.017255972355442423,0,1,0,0
2022-01-24,0.0027684276271241,-0.0027684276271241,0.015073,0.013494517888437895,0.01799207219998795,0.020207297846397423,0,0,0,0
2022-01-25,-0.0070021555775245,0.0070021555775245,0.015073,0.013138367958911809,0.01587854241261496,0.017652255463325665,0,0,0,0
2022-01-26,-0.0036607475778059,0.0036607475778059,0.015073,0.013003178843700185,0.015538744684314671,0.01692890078808903,0,0,0,0
2022-01-27,0.0027140574929354,-0.0027140574929354,0.015073,0.012703991029153334,0.014310436833271555,0.015445846754328378,0,0,0,0
2022-01-28,0.0080814493105141,-0.0080814493105141,0.015073,0.012374590320447269,0.012899682065266833,0.013710758366503331,0,0,0,0
2022-01-31,0.0144698920677014,-0.0144698920677014,0.015073,0.01248585690912615,0.013042843252752012,0.01293123876161161,0,0,0,0
2022-02-01,0.0078560511229671,-0.0078560511229671,0.015073,0.013618108115853601,0.0161942907127182,0.014170509540784668,0,0,0,0
2022-02-02,0.0059163439507796,-0.0059163439507796,0.015073,0.013732552465146113,0.015459672469923563,0.013349949271613345,0,0,0,0
2022-02-03,-0.0345388435504845,0.0345388435504845,0.015073,0.013461009723720885,0.014355805355534768,0.012323560556204555,1,1,1,1
2022-02-04,0.0083353467101975,-0.0083353467101975,0.015073,0.019932712159332913,0.03204128450876876,0.03432954418159156,0,0,0,0
2022-02-07,-0.0019592449051107,0.0019592449051107,0.015073,0.020085654374180487,0.028392989979468358,0.030176241440329234,0,0,0,0
2022-02-08,0.0032714541304398,-0.0032714541304398,0.015073,0.019075147305513303,0.024854306958467184,0.026443873484497966,0,0,0,0
2022-02-09,0.0087701935445259,-0.0087701935445259,0.015073,0.019133580592407405,0.021836358156485203,0.0231726089519835,0,0,0,0
2022-02-10,-0.0143831557449714,0.0143831557449714,0.015073,0.018388302290110476,0.020212969272611698,0.021004511833464884,0,0,0,0
