target_return,mean_return,cvar_95
1.0165156024739874,18.683356438899388,2.5417041291201827
3.3735078972143917,18.681134564038885,2.542325445730973
5.730500191954795,18.685740225099114,2.5424845467067256
8.087492486695199,18.68499588979661,2.5423014707072125
10.444484781435603,18.685568422176438,2.5428422462217726
12.801477076176008,18.684783810303472,2.5415111097332055
15.158469370916414,18.684703783447805,2.5420092769583102
17.51546166565682,18.67972426631533,2.54191293939423
19.87245396039722,19.871345876612864,2.632813764779575
22.229446255137624,22.228440163284063,3.3991005214498555
24.58643854987803,24.585898897923496,4.336158644644121
26.943430844618433,26.943558458468676,5.346132873912356
29.300423139358838,29.29948123428639,7.138498227525666
31.65741543409924,31.656989372443256,9.872358839556435
34.01440772883964,34.013732441676375,13.783073649448921
36.371400023580044,36.37004774180546,18.57786403257404
