Method,VaR_95%,VaR_99%,ES_97.5%
Historical Simulation,0.01507316961261525,0.03455742623123172,0.04157870762350313
Parametric (Normal),0.019072880218185206,0.027325283356858892,0.027463994142731693
Monte Carlo,0.019184750794552747,0.027024805587569915,0.027239731662776812
