,coefficient,std_error,t_stat,p_value,significant
const,1.332510682533862,0.300210117558445,4.4385935203347975,9.054863906557048e-06,True
ΔFFR,-2.8554436880138288,1.727099261232794,-1.6533176477509628,0.09826623318224388,False
ΔCPI,0.6871776982733107,0.9076746049427282,0.7570749413185022,0.44900496589758565,False
Δ10Y,-4.746922606335058,1.230863764161873,-3.8565784001021113,0.0001149852301455331,True
ΔIG_spread,-11.829827348274117,2.213194274605912,-5.3451373356641145,9.034852387792699e-08,True
