ticker,pos_M,adv_M,pct_of_adv,roll_spread_bps,stress_cost_usd,adv_violation
UUP,0.5556,5.09,10.91,31.22,2601.0,1
TLT,0.5556,32.72,1.698,20.77,1731.0,0
NEE,0.5556,38.05,1.46,80.64,6720.0,0
XOM,0.5556,52.21,1.064,0.0,0.0,0
JNJ,0.5556,67.76,0.82,17.23,1436.0,0
