window,model,alpha,gamma,beta,persistence,loglik
W1,GARCH,0.20163244161582497,,0.7879450817121788,0.9895775233280037,-1071.3986391268331
W1,T-GARCH,0.0969594083827161,0.17682472636324684,0.7969976040854897,0.9823693756498293,-1062.081750292306
W2,GARCH,0.19407172777989865,,0.7809768753992498,0.9750486031791484,-1323.9738173917679
W2,T-GARCH,0.08143118327055197,0.18867541249673175,0.793173112714509,0.9689420022334267,-1311.3073431963467
